Chakana sotuvchi,Sotuvchi ID,Hisob-faktura sanasi,Hudud,Viloyat,Shahar,Mahsulot,Birlik narxi (so'm),Sotilgan birlik,Jami savdo (so'm),Operatsion foyda (so'm),Operatsion marja,Sotuv usuli
SneakerPro,1185732,2021-07-08,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun kundalik poyabzal,506000,250,1265000000,442750000,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-09,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun sport poyabzali,506000,200,1012000000,404800000,0.4,Outlet do'kon
SneakerPro,1185732,2021-07-10,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar kiyimi,632500,225,1423125000,498093750,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-11,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar kiyimi,695750,400,2783000000,1391500000,0.5,Outlet do'kon
SneakerPro,1185732,2021-07-12,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun kundalik poyabzal,632500,550,3478750000,1391500000,0.4,Outlet do'kon
SneakerPro,1185732,2021-07-13,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun sport poyabzali,569250,325,1850062500,647521875,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-14,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun kundalik poyabzal,506000,250,1265000000,442750000,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-15,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun sport poyabzali,506000,225,1138500000,455400000,0.4,Outlet do'kon
SneakerPro,1185732,2021-07-16,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar kiyimi,632500,200,1265000000,442750000,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-17,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar kiyimi,695750,375,2609062500,1304531250,0.5,Outlet do'kon
SneakerPro,1185732,2021-07-18,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun kundalik poyabzal,632500,500,3162500000,1265000000,0.4,Outlet do'kon
SneakerPro,1185732,2021-07-19,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun sport poyabzali,569250,300,1707750000,597712500,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-20,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun kundalik poyabzal,506000,200,1012000000,354200000,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-21,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun sport poyabzali,506000,175,885500000,354200000,0.4,Outlet do'kon
SneakerPro,1185732,2021-07-22,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar kiyimi,632500,175,1106875000,387406250,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-23,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar kiyimi,695750,250,1739375000,869687500,0.5,Outlet do'kon
SneakerPro,1185732,2021-07-24,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun kundalik poyabzal,759000,425,3225750000,1290300000,0.4,Outlet do'kon
SneakerPro,1185732,2021-07-25,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun sport poyabzali,632500,250,1581250000,553437500,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-26,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun kundalik poyabzal,632500,150,948750000,332062500,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-27,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun sport poyabzali,632500,125,790625000,316250000,0.4,Outlet do'kon
SneakerPro,1185732,2021-07-28,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar kiyimi,759000,125,948750000,332062500,0.35,Outlet do'kon
SneakerPro,1185732,2021-07-29,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar kiyimi,822250,250,2055625000,1027812500,0.5,Outlet do'kon
SneakerPro,1185732,2021-07-30,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun kundalik poyabzal,759000,400,3036000000,1214400000,0.4,Outlet do'kon
SneakerPro,1185732,2021-07-31,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun sport poyabzali,632500,250,1581250000,553437500,0.35,Outlet do'kon
SneakerPro,1185732,2021-08-01,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun kundalik poyabzal,632500,195,1233375000,431681250,0.35,Outlet do'kon
SneakerPro,1185732,2021-08-02,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun sport poyabzali,632500,175,1106875000,442750000,0.4,Outlet do'kon
SneakerPro,1185732,2021-08-03,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar kiyimi,759000,150,1138500000,398475000,0.35,Outlet do'kon
SneakerPro,1185732,2021-08-04,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar kiyimi,822250,250,2055625000,1027812500,0.5,Outlet do'kon
SneakerPro,1185732,2021-08-05,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun kundalik poyabzal,759000,500,3795000000,1518000000,0.4,Outlet do'kon
SneakerPro,1185732,2021-08-06,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun sport poyabzali,632500,300,1897500000,664125000,0.35,Outlet do'kon
SneakerPro,1185732,2021-08-07,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun kundalik poyabzal,632500,250,1581250000,553437500,0.35,Outlet do'kon
SneakerPro,1185732,2021-08-08,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun sport poyabzali,632500,200,1265000000,506000000,0.4,Outlet do'kon
SneakerPro,1185732,2021-08-09,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar kiyimi,759000,200,1518000000,531300000,0.35,Outlet do'kon
SneakerPro,1185732,2021-08-10,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar kiyimi,822250,300,2466750000,1233375000,0.5,Outlet do'kon
SportMaster,1197831,2021-08-11,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun kundalik poyabzal,253000,725,1834250000,550275000,0.3,Outlet do'kon
SportMaster,1197831,2021-08-12,Farg'ona vodiysi,Andijon viloyati,Andijon,Erkaklar uchun sport poyabzali,379500,725,2751375000,825412500,0.3,Outlet do'kon
SportMaster,1197831,2021-08-13,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun kundalik poyabzal,379500,525,1992375000,597712500,0.3,Outlet do'kon
SportMaster,1197831,2021-08-14,Farg'ona vodiysi,Andijon viloyati,Andijon,Ayollar uchun sport poyabzali,442750,525,2324437500,929775000,0.4,Outlet do'kon
SportMaster,1197831,2021-08-15,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,506000,375,1897500000,474375000,0.25,Outlet do'kon
SportMaster,1197831,2021-08-16,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,442750,525,2324437500,1045996875,0.45,Outlet do'kon
SportMaster,1197831,2021-08-17,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,316250,675,2134687500,640406250,0.3,Outlet do'kon
SportMaster,1197831,2021-08-18,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,442750,650,2877875000,863362500,0.3,Outlet do'kon
SportMaster,1197831,2021-08-19,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,442750,475,2103062500,630918750,0.3,Outlet do'kon
SportMaster,1197831,2021-08-20,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,442750,425,1881687500,752675000,0.4,Outlet do'kon
SportMaster,1197831,2021-08-21,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,506000,300,1518000000,379500000,0.25,Outlet do'kon
SportMaster,1197831,2021-08-22,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,442750,500,2213750000,996187500,0.45,Outlet do'kon
SportMaster,1197831,2021-08-23,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,379500,675,2561625000,896568750,0.35,Outlet do'kon
SportMaster,1197831,2021-08-24,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,506000,675,3415500000,1195425000,0.35,Outlet do'kon
SportMaster,1197831,2021-08-25,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,379500,500,1897500000,664125000,0.35,Outlet do'kon
SportMaster,1197831,2021-08-26,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,442750,400,1771000000,796950000,0.45,Outlet do'kon
SportMaster,1197831,2021-08-27,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,506000,300,1518000000,455400000,0.3,Outlet do'kon
SportMaster,1197831,2021-08-28,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,442750,450,1992375000,996187500,0.5,Outlet do'kon
SportMaster,1197831,2021-08-29,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,253000,700,1771000000,619850000,0.35,Outlet do'kon
SportMaster,1197831,2021-08-30,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,379500,700,2656500000,929775000,0.35,Outlet do'kon
SportMaster,1197831,2021-08-31,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,316250,525,1660312500,581109375,0.35,Outlet do'kon
SportMaster,1197831,2021-09-01,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,379500,425,1612875000,725793750,0.45,Outlet do'kon
SportMaster,1197831,2021-09-02,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,442750,325,1438937500,431681250,0.3,Outlet do'kon
SportMaster,1197831,2021-09-03,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,379500,600,2277000000,1138500000,0.5,Outlet do'kon
SportMaster,1197831,2021-09-04,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,253000,750,1897500000,664125000,0.35,Outlet do'kon
SportMaster,1197831,2021-09-05,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,379500,775,2941125000,1029393750,0.35,Outlet do'kon
SportMaster,1197831,2021-09-06,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,316250,625,1976562500,691796875,0.35,Outlet do'kon
SportMaster,1197831,2021-09-07,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,442750,550,2435125000,1095806250,0.45,Outlet do'kon
SportMaster,1197831,2021-09-08,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,632500,450,2846250000,853875000,0.3,Outlet do'kon
SportMaster,1197831,2021-09-09,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,569250,800,4554000000,2277000000,0.5,Outlet do'kon
SportMaster,1197831,2021-09-10,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,569250,800,4554000000,1593900000,0.35,Outlet do'kon
SportMaster,1197831,2021-09-11,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,632500,800,5060000000,1771000000,0.35,Outlet do'kon
SportMaster,1197831,2021-09-12,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,569250,650,3700125000,1295043750,0.35,Outlet do'kon
SportMaster,1197831,2021-09-13,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,569250,600,3415500000,1536975000,0.45,Outlet do'kon
SportMaster,1197831,2021-09-14,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,632500,500,3162500000,948750000,0.3,Outlet do'kon
SportMaster,1197831,2021-09-15,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,695750,875,6087812500,3043906250,0.5,Outlet do'kon
SportMaster,1197831,2021-09-16,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,569250,825,4696312500,1878525000,0.4,Outlet do'kon
SportMaster,1197831,2021-09-17,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,632500,825,5218125000,2087250000,0.4,Outlet do'kon
SportMaster,1197831,2021-09-18,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,569250,975,5550187500,2220075000,0.4,Outlet do'kon
SportMaster,1197831,2021-09-19,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,569250,575,3273187500,1636593750,0.5,Outlet do'kon
SportMaster,1197831,2021-09-20,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,632500,575,3636875000,1272906250,0.35,Outlet do'kon
SportMaster,1197831,2021-09-21,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,759000,850,6451500000,3548325000,0.55,Outlet do'kon
SportMaster,1197831,2021-09-22,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,632500,800,5060000000,2024000000,0.4,Outlet do'kon
SportMaster,1197831,2021-09-23,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,695750,800,5566000000,2226400000,0.4,Outlet do'kon
SportMaster,1197831,2021-09-24,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,632500,975,6166875000,2466750000,0.4,Outlet do'kon
SportMaster,1197831,2021-09-25,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,632500,525,3320625000,1660312500,0.5,Outlet do'kon
SportMaster,1197831,2021-09-26,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,695750,525,3652687500,1278440625,0.35,Outlet do'kon
SportMaster,1197831,2021-09-27,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,759000,775,5882250000,3235237500,0.55,Outlet do'kon
SportMaster,1197831,2021-09-28,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,695750,725,5044187500,2017675000,0.4,Outlet do'kon
SportMaster,1197831,2021-09-29,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,695750,675,4696312500,1878525000,0.4,Outlet do'kon
SportMaster,1197831,2021-09-30,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,759000,725,5502750000,2201100000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-01,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,759000,450,3415500000,1707750000,0.5,Outlet do'kon
SportMaster,1197831,2021-10-02,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,695750,450,3130875000,1095806250,0.35,Outlet do'kon
SportMaster,1197831,2021-10-03,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,632500,675,4269375000,2348156250,0.55,Outlet do'kon
SportMaster,1197831,2021-10-04,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,506000,625,3162500000,1265000000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-05,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,506000,625,3162500000,1265000000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-06,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,569250,575,3273187500,1309275000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-07,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,569250,425,2419312500,1209656250,0.5,Outlet do'kon
SportMaster,1197831,2021-10-08,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,506000,400,2024000000,708400000,0.35,Outlet do'kon
SportMaster,1197831,2021-10-09,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,632500,575,3636875000,2000281250,0.55,Outlet do'kon
SportMaster,1197831,2021-10-10,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,506000,725,3668500000,1467400000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-11,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,506000,725,3668500000,1467400000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-12,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,822250,650,5344625000,2137850000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-13,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,822250,500,4111250000,2055625000,0.5,Outlet do'kon
SportMaster,1197831,2021-10-14,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,759000,475,3605250000,1261837500,0.35,Outlet do'kon
SportMaster,1197831,2021-10-15,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,885500,675,5977125000,3287418750,0.55,Outlet do'kon
SportMaster,1197831,2021-10-16,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,759000,825,6261750000,2504700000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-17,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,759000,825,6261750000,2504700000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-18,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,822250,725,5961312500,2384525000,0.4,Outlet do'kon
SportMaster,1197831,2021-10-19,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,822250,575,4727937500,2363968750,0.5,Outlet do'kon
SportMaster,1197831,2021-10-20,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar kiyimi,759000,525,3984750000,1394662500,0.35,Outlet do'kon
SportMaster,1197831,2021-10-21,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar kiyimi,885500,775,6862625000,3774443750,0.55,Outlet do'kon
SneakerPro,1185732,2021-10-22,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun kundalik poyabzal,569250,425,2419312500,1330621875,0.55,Outlet do'kon
SneakerPro,1185732,2021-10-23,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Erkaklar uchun sport poyabzali,569250,225,1280812500,448284375,0.35,Outlet do'kon
SneakerPro,1185732,2021-10-24,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun kundalik poyabzal,442750,225,996187500,398475000,0.4,Outlet do'kon
SneakerPro,1185732,2021-10-25,Markaziy hudud,Samarqand viloyati,Kattaqo'rg'on,Ayollar uchun sport poyabzali,506000,75,379500000,151800000,0.4,Outlet do'kon
SneakerPro,1185732,2021-10-26,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar kiyimi,695750,125,869687500,304390625,0.35,Outlet do'kon
SneakerPro,1185732,2021-10-27,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar kiyimi,569250,225,1280812500,384243750,0.3,Outlet do'kon
SneakerPro,1185732,2021-10-28,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun kundalik poyabzal,569250,475,2703937500,1487165625,0.55,Outlet do'kon
SneakerPro,1185732,2021-10-29,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun sport poyabzali,569250,125,711562500,249046875,0.35,Outlet do'kon
SneakerPro,1185732,2021-10-30,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun kundalik poyabzal,442750,175,774812500,309925000,0.4,Outlet do'kon
SneakerPro,1185732,2021-10-31,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun sport poyabzali,506000,50,253000000,101200000,0.4,Outlet do'kon
SneakerPro,1185732,2021-11-01,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar kiyimi,695750,125,869687500,304390625,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-02,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar kiyimi,569250,225,1280812500,384243750,0.3,Outlet do'kon
SneakerPro,1185732,2021-11-03,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun kundalik poyabzal,632500,445,2814625000,1548043750,0.55,Outlet do'kon
SneakerPro,1185732,2021-11-04,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun sport poyabzali,632500,150,948750000,332062500,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-05,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun kundalik poyabzal,506000,175,885500000,354200000,0.4,Outlet do'kon
SneakerPro,1185732,2021-11-06,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun sport poyabzali,569250,25,142312500,56925000,0.4,Outlet do'kon
SneakerPro,1185732,2021-11-07,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar kiyimi,759000,75,569250000,170775000,0.3,Outlet do'kon
SneakerPro,1185732,2021-11-08,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar kiyimi,632500,175,1106875000,276718750,0.25,Outlet do'kon
SneakerPro,1185732,2021-11-09,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun kundalik poyabzal,632500,450,2846250000,1423125000,0.5,Outlet do'kon
SneakerPro,1185732,2021-11-10,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun sport poyabzali,632500,150,948750000,284625000,0.3,Outlet do'kon
SneakerPro,1185732,2021-11-11,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun kundalik poyabzal,506000,150,759000000,265650000,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-12,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun sport poyabzali,569250,75,426937500,149428125,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-13,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar kiyimi,759000,75,569250000,170775000,0.3,Outlet do'kon
SneakerPro,1185732,2021-11-14,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar kiyimi,632500,200,1265000000,316250000,0.25,Outlet do'kon
SneakerPro,1185732,2021-11-15,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun kundalik poyabzal,759000,470,3567300000,1783650000,0.5,Outlet do'kon
SneakerPro,1185732,2021-11-16,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun sport poyabzali,759000,175,1328250000,398475000,0.3,Outlet do'kon
SneakerPro,1185732,2021-11-17,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun kundalik poyabzal,695750,150,1043625000,365268750,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-18,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun sport poyabzali,695750,100,695750000,243512500,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-19,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar kiyimi,822250,125,1027812500,308343750,0.3,Outlet do'kon
SneakerPro,1185732,2021-11-20,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar kiyimi,885500,250,2213750000,664125000,0.3,Outlet do'kon
SneakerPro,1185732,2021-11-21,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun kundalik poyabzal,822250,500,4111250000,2261187500,0.55,Outlet do'kon
SneakerPro,1185732,2021-11-22,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun sport poyabzali,759000,250,1897500000,664125000,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-23,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun kundalik poyabzal,695750,175,1217562500,487025000,0.4,Outlet do'kon
SneakerPro,1185732,2021-11-24,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun sport poyabzali,695750,150,1043625000,417450000,0.4,Outlet do'kon
SneakerPro,1185732,2021-11-25,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar kiyimi,822250,150,1233375000,431681250,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-26,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar kiyimi,885500,300,2656500000,796950000,0.3,Outlet do'kon
SneakerPro,1185732,2021-11-27,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun kundalik poyabzal,822250,500,4111250000,2261187500,0.55,Outlet do'kon
SneakerPro,1185732,2021-11-28,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun sport poyabzali,759000,300,2277000000,796950000,0.35,Outlet do'kon
SneakerPro,1185732,2021-11-29,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun kundalik poyabzal,695750,225,1565437500,626175000,0.4,Outlet do'kon
SneakerPro,1185732,2021-11-30,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun sport poyabzali,695750,175,1217562500,487025000,0.4,Outlet do'kon
SneakerPro,1185732,2021-12-01,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar kiyimi,822250,200,1644500000,575575000,0.35,Outlet do'kon
SneakerPro,1185732,2021-12-02,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar kiyimi,885500,375,3320625000,996187500,0.3,Outlet do'kon
SneakerPro,1185732,2021-12-03,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun kundalik poyabzal,822250,525,4316812500,2374246875,0.55,Outlet do'kon
SneakerPro,1185732,2021-12-04,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun sport poyabzali,759000,300,2277000000,796950000,0.35,Outlet do'kon
SneakerPro,1185732,2021-12-05,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun kundalik poyabzal,695750,225,1565437500,626175000,0.4,Outlet do'kon
SneakerPro,1185732,2021-12-06,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun sport poyabzali,695750,200,1391500000,556600000,0.4,Outlet do'kon
SneakerPro,1185732,2021-12-07,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar kiyimi,822250,175,1438937500,503628125,0.35,Outlet do'kon
SneakerPro,1185732,2021-12-08,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar kiyimi,885500,350,3099250000,929775000,0.3,Outlet do'kon
SneakerPro,1185732,2021-12-09,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun kundalik poyabzal,822250,475,3905687500,1952843750,0.5,Outlet do'kon
SneakerPro,1185732,2021-12-10,Toshkent hududi,Toshkent shahri,Yunusobod,Erkaklar uchun sport poyabzali,632500,275,1739375000,521812500,0.3,Outlet do'kon
SneakerPro,1185732,2021-12-11,Toshkent hududi,Toshkent shahri,Yunusobod,Ayollar uchun kundalik poyabzal,569250,200,1138500000,398475000,0.35,Outlet do'kon
